society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Environment Rating,Lifestyle Rating ,Connectivity Rating,Saftey Rating,furnishing_status,Private Garden / Terrace,Maintenance Staff,Water Storage,Park,Visitor Parking,Waste Disposal,Rain Water Harvesting,Security,cumulative_weight,latitude,longitude,region_cluster
independent,0.95,7308,1300,5,3,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.3,8701,1494,4,4,2,1,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.36,8000,450,1,1,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,3.5,25926,1350,6,6,3,3,0,1 to 5 Year Old,4,5,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4772236,77.0832762,0
independent,0.8,6666,1200,8,8,2,1,0,1 to 5 Year Old,4,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.3671851,76.920669,0
independent,0.15,2296,653,2,1,0,1,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.8,8888,900,9,5,3+,3,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
independent,6,33333,1800,8,5,3+,3,0,10+ Year Old,5,5,5,5,Fully Furnished,1,0,0,0,0,0,0,0,0,28.4714278,77.0939848,0
Gated Community,2.8,12444,2250,10,7,3,1,0,10+ Year Old,4,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,3,28.4601,77.02635,0
Gated Community,2.75,9793,2808,4,4,3+,3,0,1 to 5 Year Old,5,4,4,3,Fully Furnished,1,1,1,1,1,1,1,0,2,28.4089049,76.9155232,0
Gated Community,1.75,6250,2800,4,4,0,14,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,3.1,8486,3653,5,5,3+,21,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4021644,77.0382675,0
independent,1.16,11717,990,5,4,2,1,2,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.85,7589,1120,3,2,2,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,0,0,0,1,1,0,0,0,0,28.24737,77.06544,0
independent,0.9,13333,675,4,4,0,2,0,0 to 1 Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.34,12592,270,2,2,2,3,7,5 to 10 Year Old,4,4,4,4,Fully Furnished,0,0,1,1,1,0,0,0,0,28.4601,77.02635,0
independent,5,15384,3250,6,6,2,1,4,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.5115958,77.0364654,0
Gated Community,0.36,7843,459,2,2,1,1,2,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.4601,77.02635,0
independent,5,22222,2250,3,3,3,1,4,5 to 10 Year Old,4,5,5,4,Fully Furnished,1,0,0,0,0,0,0,0,0,28.473784,77.0471827,0
Gated Community,9.5,23333,4071,5,7,3+,2,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,0,1,1,1,1,1,1,1,3.5,28.4384785,77.0251655,0
independent,7.25,29336,2471,8,8,3+,0,2,5 to 10 Year Old,4,5,5,4,Fully Furnished,0,0,0,0,0,0,0,0,0,28.4253232,77.0985157,0
independent,1.5,10288,1458,3,3,0,2,0,10+ Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,1.3,11284,1152,3,2,1,3,0,1 to 5 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4156048,76.931638,0
independent,3.75,11029,3400,5,5,3+,3,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4806013,77.0187839,0
Gated Community,0.37,10277,360,4,3,2,3,0,1 to 5 Year Old,4,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.493768,77.00577,0
independent,2.25,6944,3240,10,10,2,1,0,0 to 1 Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.15,8518,1350,5,3,2,2,2,10+ Year Old,4,4,4,4,Fully Furnished,0,0,1,1,0,1,0,0,1,28.4621977,77.0185742,0
independent,0.95,10555,900,3,2,2,3,5,10+ Year Old,4,4,5,4,Fully Furnished,0,0,0,1,0,0,0,0,1,28.4601,77.02635,0
independent,0.49,11250,436,6,3,2,3,0,5 to 10 Year Old,4,4,5,4,Unfurnished,0,0,0,1,0,0,0,0,0,28.4601,77.02635,0
independent,1.45,557,6430.5,4,4,2,2,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,0,0,1,1,1,0,0,1.5,28.4967161,77.0274408,0
Gated Community,0.8,8888,900,2,2,1,1,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.6,11852,1350,5,5,2,3,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.85,8947,950,6,6,2,2,1,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,0,1,1,1,1,1,0,3,52.44889,9.74,-1
independent,7,39265,1783,5,5,2,3,2,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,0,0,0,0,0,0,0,0.5,28.4714278,77.0939848,0
independent,0.5,6083,822,3,2,1,1,0,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,8,230547,347,10,10,3+,1,1,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4351423,77.0403538,0
independent,0.45,8411,535,3,2,1,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.62,32291,192,6,6,0,3,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1,41666,240,6,4,0,3,0,0 to 1 Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,4.12,8889,4635,2,1,3+,2,0,5 to 10 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.95,7280,1305,7,6,3+,3,0,10+ Year Old,3,3,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.45,90000,50,5,3,0,1,0,0 to 1 Year Old,4,4,5,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.45,10089,446,5,3,2,3,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4533282,77.0195396,0
Gated Community,1.87,8697,2150,3,4,0,12,0,0 to 1 Year Old,5,4,3,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4420223,76.9538495,0
independent,0.85,8500,1000,1,1,0,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
independent,0.42,9333,450,5,3,2,2,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.42,8235,510,3,3,0,2,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.4601,77.02635,0
independent,1.2,13333,900,7,4,1,2,6,5 to 10 Year Old,4,4,4,4,Fully Furnished,0,0,1,1,1,0,0,0,0.5,28.493768,77.00577,0
independent,6.5,21667,3000,5,6,0,1,0,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4214768,77.0528259,0
independent,3.75,20425,1836,4,4,3+,3,0,10+ Year Old,4,4,5,4,Fully Furnished,1,0,1,0,0,0,1,0,0,28.4601,77.02635,0
independent,2.5,5472,4569,3,2,1,2,0,10+ Year Old,4,4,5,4,Fully Furnished,0,0,0,1,0,0,0,0,0,28.4601,77.02635,0
independent,2.25,6944,3240,36,36,2,3,0,5 to 10 Year Old,3,4,5,3,Unfurnished,0,0,1,0,0,0,0,0,0.5,28.4601,77.02635,0
independent,0.75,57692,130,2,2,0,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.3,60000,50,6,3,3,3,4,5 to 10 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,3.6,19231,1809,6,4,2,2,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,0,0,1,1,0,1,0,0,0,28.4522331,77.0267159,0
independent,1.35,3857,3500,5,3,3,3,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,4.7,21759,2160,3,3,2,2,1,10+ Year Old,4,4,4,4,Unfurnished,1,0,1,1,1,0,1,0,1,28.4545693,77.0826249,0
Gated Community,0.6,8333,720,4,2,1,0,0,10+ Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,0,0,0.5,28.6273247,75.96433886,1
independent,0.22,7407,297,2,2,2,1,0,0 to 1 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.65,75000,220,9,9,0,1,0,0 to 1 Year Old,3,3,4,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.5,10482,477,5,3,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,2.3,25386,906,6,6,0,0,0,10+ Year Old,4,4,4,4,Fully Furnished,1,0,1,0,0,0,0,0,0.5,28.4601,77.02635,0
independent,1.25,8735,1431,10,6,3+,3,0,10+ Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,1.7,9444,1800,1,1,2,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,6,20000,3000,4,4,1,2,0,1 to 5 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.5115958,77.0364654,0
independent,2.8,18667,1500,4,4,0,2,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4233556,77.1051327,0
independent,3.12,18889,1652,4,2,1,1,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.07,2525,277,1,1,0,1,0,1 to 5 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.3241636,77.0848644,0
independent,3.5,24306,1440,3,3,2,1,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4351423,77.0403538,0
Gated Community,2.58,17695,1458,4,2,2,2,0,0 to 1 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,8.5,21519,3950,4,4,3+,27,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3964476,77.086498,0
Gated Community,4,17817,2245,7,7,3+,4,0,0 to 1 Year Old,4,4,5,4,Unfurnished,1,0,1,1,1,0,0,0,0,28.4601,77.02635,0
independent,1.45,2,6430.5,4,3,3+,3,4,5 to 10 Year Old,4,4,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.347879,76.7522376,0
independent,0.6,6173,972,8,3,2,3,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.1,55000,200,4,3,1,2,2,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,2.5,13888,1800,9,5,2,1,5,10+ Year Old,3,4,5,4,Fully Furnished,0,0,0,1,0,0,0,0,1,28.4601,77.02635,0
independent,3.5,20323,1722,3,2,2,1,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4351423,77.0403538,0
Gated Community,2.95,20359,1449,2,2,2,1,1,5 to 10 Year Old,4,5,5,4,Fully Furnished,1,0,1,1,1,0,0,0,0,28.4253232,77.0985157,0
independent,0.7,5833,1200,3,2,2,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.16,11693,992,5,4,2,3,2,5 to 10 Year Old,4,4,4,4,Fully Furnished,1,0,1,1,1,0,0,0,0.5,28.4601,77.02635,0
independent,15.7,26667,6000,6,5,2,3,0,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,8.5,53125,1600,12,12,3+,4,1,0 to 1 Year Old,5,4,5,5,Fully Furnished,1,0,1,1,1,0,0,1,0,28.4601,77.02635,0
Gated Community,8.95,17900,5000,5,6,3+,4,0,5 to 10 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4741302,77.0825722,0
independent,14,39886,3510,9,9,3+,4,1,5 to 10 Year Old,4,4,4,4,Fully Furnished,0,0,1,0,0,0,0,0,0.5,28.4601,77.02635,0
Gated Community,0.85,126865,67,5,2,2,1,0,10+ Year Old,3,4,5,4,Fully Furnished,0,0,1,1,1,0,0,0,1,28.4601,77.02635,0
independent,1.35,40909,330,4,5,0,3,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,13.2,27155,4861,6,6,0,2,0,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4212898,77.062917,0
Gated Community,6,14492,4140,9,9,3+,3,3,10+ Year Old,4,5,5,4,Fully Furnished,1,0,0,0,0,0,0,0,0,28.4601,77.02635,0
Gated Community,0.51,14167,360,4,4,3,4,0,0 to 1 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.1,11111,990,6,4,1,2,1,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,3.6,19231,1809,2,2,1,1,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4532911,77.017516,0
independent,2.5,13157,1900,5,5,3+,2,0,1 to 5 Year Old,4,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4480039,76.9697682,0
independent,0.53,5888,900,2,2,0,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,2,11111,1800,2,2,1,2,0,1 to 5 Year Old,4,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.63,7875,800,4,2,1,2,5,10+ Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,0,0,0.5,28.6273247,75.96433886,1
independent,8,9654,6430.5,10,10,3+,4,0,1 to 5 Year Old,4,5,5,4,Fully Furnished,1,0,1,1,0,0,0,1,2.5,28.4601,77.02635,0
independent,0.45,4808,936,1,1,0,1,0,0 to 1 Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.37,8222,450,2,2,1,1,0,5 to 10 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.4601,77.02635,0
independent,1.72,11111,1548,6,3,1,2,0,10+ Year Old,4,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.4714278,77.0939848,0
independent,1.35,3857,3500,10,6,3+,3,0,10+ Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3445779,77.0681342,0
independent,0.5,50000,100,2,2,0,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4421059,77.1112654,0
independent,0.62,11273,550,3,1,0,2,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,8,8000,6430.5,3,9,2,3,0,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.483901,77.0846097,0
independent,1.8,7627,2360,4,5,0,13,0,0 to 1 Year Old,5,4,4,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4089049,76.9155232,0
independent,1.7,5666,3000,4,4,3+,1,2,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4030162,77.0695893,0
independent,0.55,5000,1100,2,1,0,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.5,5000,3000,6,1,0,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.55,6567,2360,3,2,0,1,0,0 to 1 Year Old,5,4,3,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4420223,76.9538495,0
independent,0.32,22068,145,2,2,0,3,0,0 to 1 Year Old,4,3,4,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.44515,76.93947,0
independent,2.1,8386,2504,4,3,0,2,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,5.6,12444,4500,34,34,3+,4,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.65,11111,585,4,2,2,2,0,5 to 10 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.6,28674,558,4,6,1,3,0,1 to 5 Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.78,9725,802,4,4,0,3,2,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.95,21111,450,2,1,1,3,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,0,0,1,1,0,0,0,0,0,28.4621977,77.0185742,0
Gated Community,3.85,7500,5133,5,6,3+,6,0,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3858766,76.9639317,0
independent,0.66,10784,612,3,2,1,2,0,10+ Year Old,3,4,5,4,Fully Furnished,0,0,1,1,1,0,0,0,0,28.4601,77.02635,0
independent,0.45,12162,370,4,4,2,4,1,5 to 10 Year Old,4,4,4,3,Fully Furnished,0,0,1,0,0,0,0,0,0,28.4601,77.02635,0
independent,0.85,8910,954,1,2,0,1,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.5,10518,1426,2,2,2,3,6,10+ Year Old,4,5,5,4,Fully Furnished,0,0,1,0,0,1,0,0,2,28.4601,77.02635,0
independent,1.52,19869,765,2,2,1,1,5,10+ Year Old,4,4,5,5,Fully Furnished,0,0,1,1,1,0,0,0,0,28.4156048,76.931638,0
independent,1,8796,1137,3,2,2,1,1,10+ Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.6273247,75.96433886,1
independent,1.05,9722,1080,3,2,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.85,7522,1130,3,3,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.58,5658,1025,4,2,1,2,0,10+ Year Old,4,4,5,5,Fully Furnished,0,0,1,0,0,0,0,0,1,28.4601,77.02635,0
independent,0.45,5000,900,3,2,0,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.35,24545,550,5,3,2,3,5,10+ Year Old,4,4,5,4,Fully Furnished,0,1,0,1,1,0,0,0,0,28.4601,77.02635,0
independent,0.7,7701,909,2,2,0,1,2,5 to 10 Year Old,3,3,4,3,Fully Furnished,1,0,1,0,0,0,0,0,0,28.6273247,75.96433886,1
independent,1.4,8235,1700,2,2,1,3,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,5.15,14072,3660,5,5,0,1,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4423675,77.0504724,0
Gated Community,6.5,26000,2500,5,5,0,4,0,5 to 10 Year Old,4,5,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.473784,77.0471827,0
Gated Community,3.5,24305,1440,6,5,3,3,0,10+ Year Old,5,5,5,5,Unfurnished,1,1,1,1,1,1,1,0,0,28.4758035,77.0607773,0
independent,13.5,19286,6430.5,9,9,0,1,0,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,5.7,22634,2518,9,9,3+,3,2,5 to 10 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,1,28.4983353,77.0203007,0
Gated Community,3.3,26570,1242,1,1,0,2,0,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4545693,77.0826249,0
independent,1.75,11111,1575,4,2,2,2,0,10+ Year Old,4,4,4,4,Fully Furnished,1,0,1,1,1,0,0,0,0.5,28.4601,77.02635,0
Gated Community,0.75,6410,1170,4,2,2,2,7,10+ Year Old,4,4,4,4,Fully Furnished,1,0,1,0,0,0,0,0,0,28.4973905,77.020526,0
independent,3.5,133079,263,8,8,3+,3,5,1 to 5 Year Old,3,4,4,4,Fully Furnished,1,0,0,1,1,0,0,0,2.5,28.4701041,77.0315426,0
independent,0.92,15257,603,4,1,0,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.52,5778,900,3,2,2,2,0,0 to 1 Year Old,4,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.1,6111,1800,8,4,3+,2,7,10+ Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,0,0,0,28.4601,77.02635,0
Gated Community,0.75,15625,480,4,4,2,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,1.25,78125,160,2,3,0,1,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,4.25,17955,2367,4,3,2,1,2,0 to 1 Year Old,4,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4445813,77.0060231,0
independent,0.37,7916,467,1,1,1,1,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,5.7,211111,270,4,4,0,1,0,0 to 1 Year Old,4,5,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4421059,77.1112654,0
independent,0.8,80000,100,13,6,3+,3,4,5 to 10 Year Old,4,4,4,3,Fully Furnished,1,1,1,1,1,1,1,0,3,28.4601,77.02635,0
independent,2.1,35000,600,3,2,1,3,0,0 to 1 Year Old,5,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3846684,77.0220391,0
independent,1.1,10000,1100,5,4,2,1,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.6,120000,50,5,3,2,3,1,5 to 10 Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.6273247,75.96433886,1
independent,1.2,22297,538,4,4,3+,4,7,10+ Year Old,4,4,5,4,Fully Furnished,0,0,0,1,0,0,0,0,0,28.4243234,77.0383471,0
independent,4.5,125000,360,4,4,0,4,0,0 to 1 Year Old,5,4,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.8,8889,900,4,4,0,2,0,10+ Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4500334,77.0211592,0
independent,1.1,73333,150,2,2,1,2,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.4601,77.02635,0
Gated Community,3.6,19231,1809,5,1,0,1,0,10+ Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4421059,77.1112654,0
independent,3,11111,2700,4,4,0,1,0,0 to 1 Year Old,4,3,4,3,Fully Furnished,1,1,1,1,1,1,1,0,0,28.44515,76.93947,0
Gated Community,8.5,26235,3240,4,6,3,3,1,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,2,28.4104903,77.0394627,0
Gated Community,1.1,6790,1620,5,3,1,2,0,10+ Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,2,28.4249957,77.0683336,0
independent,0.75,20833,360,7,4,3+,4,0,5 to 10 Year Old,4,5,5,4,Fully Furnished,0,0,1,0,0,0,0,0,0,28.4772236,77.0832762,0
independent,6,315789,190,9,6,2,2,2,10+ Year Old,3,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.6273247,75.96433886,1
independent,0.82,10224,802,4,4,0,2,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.35,3500,1000,1,4,1,1,0,5 to 10 Year Old,5,4,4,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4154398,77.1570233,0
independent,1.15,3285,3501,3,2,1,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,1.85,74000,250,3,3,3,1,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.3864052,77.0598046,0
Gated Community,8.5,27139,3132,6,6,3+,3,0,0 to 1 Year Old,4,4,4,5,Fully Furnished,1,0,1,0,0,0,0,0,2,28.4809525,77.0090778,0
independent,0.9,10000,900,4,5,3,3,7,0 to 1 Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,0,0,0.5,28.4601,77.02635,0
independent,0.5,5555,900,2,1,2,1,0,10+ Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,0,0,1,28.4967161,77.0274408,0
independent,5.75,23662,2430,4,4,2,4,1,0 to 1 Year Old,5,5,5,5,Fully Furnished,1,1,1,0,0,0,0,1,1.5,28.4601,77.02635,0
independent,4.65,17574,2646,5,5,3+,1,0,5 to 10 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,7.2,13333,5400,4,4,3+,4,0,10+ Year Old,4,4,5,4,Fully Furnished,0,0,0,0,0,0,0,0,1.5,28.4601,77.02635,0
independent,0.6,10753,558,3,3,1,2,0,1 to 5 Year Old,5,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,4.5,9091,4950,4,5,2,2,0,10+ Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
